start	end	strand	name	symbol	locus_tag
870323	870880	-	YfjD family protein	yfjD	BSUA_RS04535
870912	871679	-	hypothetical protein		BSUA_RS04540
871691	872914	-	hypothetical protein		BSUA_RS04545
872920	873234	-	WXG100 family type VII secretion target	yfjA	BSUA_RS04550
873570	874919	+	maltose-6'-phosphate glucosidase	glvA	BSUA_RS04555
874984	875748	+	MurR/RpiR family transcriptional regulator GlvR	glvR	BSUA_RS04560
875763	877346	+	PTS maltose transporter subunit IIBC	malP	BSUA_RS04565
877452	879173	+	ABC transporter ATP-binding protein/permease	yfiB	BSUA_RS04570
879167	880981	+	ABC transporter ATP-binding protein/permease	yfiC	BSUA_RS04575
881136	881540	+	DoxX family oxidoreductase CatD	catD	BSUA_RS04580
881558	882415	+	"catechol 2,3-dioxygenase"	catE	BSUA_RS04585
882509	883453	+	helix-turn-helix domain-containing protein	yfiF	BSUA_RS04590
883628	885076	+	sugar porter family MFS transporter	yfiG	BSUA_RS04595
885103	886044	+	sugar phosphate isomerase/epimerase	yfiH	BSUA_RS04600
886054	887235	+	Gfo/Idh/MocA family oxidoreductase	yfiI	BSUA_RS04605
887359	888561	+	two-component system sensor histidine kinase LnrJ	lnrJ	BSUA_RS04610
888558	889220	+	two-component system response regulator LnrK	lnrK	BSUA_RS04615
889364	890299	+	linearmycin resistance ATP-binding protein LnrL	lnrL	BSUA_RS04620
890312	891502	+	linearmycin resistance permease LnrM	lnrM	BSUA_RS04625
891516	892673	+	linearmycin resistance permease LnrN	lnrN	BSUA_RS04630
892746	893294	-	transcriptional regulator PadR	padR	BSUA_RS04635
893567	894199	+	esterase EstB	estB	BSUA_RS04640
894388	895476	+	acyltransferase family protein	icaC	BSUA_RS04645
895512	896129	-	TetR family transcriptional regulator	yfiR	BSUA_RS04650
896095	897348	-	MFS transporter	yfiS	BSUA_RS04655
897472	898008	+	bacillithiol transferase BstA	bstA	BSUA_RS04660
898005	899561	-	MFS transporter	yfiU	BSUA_RS04665
899672	900154	-	MarR family transcriptional regulator	yfiV	BSUA_RS04670
900326	902896	+	bifunctional lysylphosphatidylglycerol flippase/synthetase MprF	mprF	BSUA_RS04675
902914	903891	-	iron-siderophore ABC transporter substrate-binding protein	sxzY	BSUA_RS04680
904022	905023	+	iron ABC transporter permease	sxzZ	BSUA_RS04685
905020	906051	+	iron ABC transporter permease	sxzA	BSUA_RS04690
906166	907047	+	PhzF family phenazine biosynthesis protein	yfhB	BSUA_RS04695
907135	907719	+	nitroreductase	yfhC	BSUA_RS04700
907758	907949	-	YfhD family protein	yfhD	BSUA_RS04705
908016	908126	-	YfhE family protein	yfhE	BSUA_RS04710
908181	909092	-	TIGR01777 family oxidoreductase	yfhF	BSUA_RS04715
909181	909975	+	recombination regulator RecX	recX	BSUA_RS04720
909977	910291	+	YfhH family protein	yfhH	BSUA_RS04725
910434	911627	+	MFS transporter	yfhI	BSUA_RS04735
911660	911812	-	"small, acid-soluble spore protein K"	sspK	BSUA_RS04740
911937	912206	+	YfhJ family protein	yfhJ	BSUA_RS04745
912351	912869	+	SH3 domain-containing protein	yfhK	BSUA_RS04750
912954	913286	+	SdpC immunity protein SpdL	spdL	BSUA_RS04755
913273	914133	+	epoxide hydrolase EphM	ephM	BSUA_RS04760
914366	915355	+	glycosyltransferase family 2 protein	csbB	BSUA_RS04765
915427	918012	+	YfhO family protein	yfhO	BSUA_RS04770
918005	918988	-	metal-dependent hydrolase	yfhP	BSUA_RS04775
919204	920313	+	A/G-specific adenine glycosylase	mutY	BSUA_RS04780
920321	920545	-	hypothetical protein		BSUA_RS04785
920627	921379	+	enoyl-[acyl-carrier-protein] reductase FabL	fabL	BSUA_RS04790
921448	921702	+	gamma type acid-soluble spore protein SspE	sspE	BSUA_RS04795
921875	922135	+	ygaB-like family protein		BSUA_RS04800
922279	922809	+	DUF402 domain-containing protein	ygaC	BSUA_RS04805
922897	924639	+	ABC transporter ATP-binding protein/permease	ygaD	BSUA_RS04810
924716	925777	-	aromatic acid exporter family protein	ygaE	BSUA_RS04815
925997	927286	-	"glutamate-1-semialdehyde 2,1-aminomutase"	gsaB	BSUA_RS04820
927439	927912	+	thioredoxin-dependent thiol peroxidase	bcp	BSUA_RS04825
928035	928472	+	peroxide-responsive transcriptional repressor PerR	perR	BSUA_RS04830
928507	928860	-	YgzB family protein	ygzB	BSUA_RS04835
929068	929952	+	hypothetical protein		BSUA_RS04840
936921	937697	-	sporulation control protein Spo0M	spo0M	BSUA_RS04945
937839	938042	+	hypothetical protein		BSUA_RS04950
938127	938399	-	spore coat protein	ygzC	BSUA_RS22260
938441	939133	+	Type 1 glutamine amidotransferase-like domain-containing protein	ygaJ	BSUA_RS04960
939443	941215	+	phosphomethylpyrimidine synthase ThiC	thiC	BSUA_RS04965
941253	942608	-	FAD-binding oxidoreductase	ygaK	BSUA_RS04970
942859	943056	+	transcriptional regulator SenS	senS	BSUA_RS04975
943083	944534	-	catalase KatA	katA	BSUA_RS04980
944942	945709	+	ABC transporter ATP-binding protein	ssuB	BSUA_RS04985
945727	946725	+	aliphatic sulfonate ABC transporter substrate-binding protein	ssuA	BSUA_RS04990
946722	947552	+	ABC transporter permease	ssuC	BSUA_RS04995
947575	948705	+	FMNH2-dependent alkanesulfonate monooxygenase	ssuD	BSUA_RS05000
948809	949345	+	hypothetical protein		BSUA_RS05005
949457	949726	+	30S ribosomal protein S14	rpsN	BSUA_RS05010
949744	950217	-	lipoprotein	ygaO	BSUA_RS05015
950219	950419	-	helix-turn-helix transcriptional regulator	ygzD	BSUA_RS05020
950777	951400	-	B3/4 domain-containing protein	yhzB	BSUA_RS05030
951483	952643	+	tRNA epoxyqueuosine(34) reductase QueG	queG	BSUA_RS05035
952710	953645	+	amidase domain-containing protein	yhbB	BSUA_RS05040
953683	954165	+	tRNA (uridine(34)/cytosine(34)/5-carboxymethylaminomethyluridine(34)-2'-O)-methyltransferase TrmL	trmL	BSUA_RS05045
954290	954931	+	YhbD family protein		BSUA_RS05050
954922	955635	+	polymer-forming cytoskeletal protein	yhbE	BSUA_RS05055
955647	956354	+	hypothetical protein		BSUA_RS05060
956704	958599	+	serine/threonine protein kinase PrkA	prkA	BSUA_RS05065
958779	959957	+	sporulation protein YhbH	yhbH	BSUA_RS05070
960117	960581	+	MarR family transcriptional regulator	yhbI	BSUA_RS05080
960617	961282	+	HlyD family secretion protein	yhbJ	BSUA_RS05085
961323	962921	+	MFS transporter	yhcA	BSUA_RS05090
962944	963474	+	NAD(P)H-dependent oxidoreductase	yhcB	BSUA_RS05095
963487	963861	+	hypothetical protein		BSUA_RS05100
963861	964016	+	hypothetical protein		BSUA_RS22265
964021	964782	+	hypothetical protein		BSUA_RS05105
964785	965150	+	GntR family transcriptional regulator	yhcF	BSUA_RS05110
965152	965850	+	ABC transporter ATP-binding protein	yhcG	BSUA_RS05115
965867	966784	+	ABC transporter ATP-binding protein	yhcH	BSUA_RS05120
966777	967718	+	ABC transporter permease	yhcI	BSUA_RS05125
967810	968013	-	cold shock-like protein CspB	cspB	BSUA_RS05130
968449	969279	+	MetQ/NlpA family ABC transporter substrate-binding protein	yhcJ	BSUA_RS05135
969282	970361	-	diguanylate cyclase DgcK	dgcK	BSUA_RS05140
970534	971925	+	L-cystine transporter TcyP	tcyP	BSUA_RS05145
971965	972420	-	hypothetical protein		BSUA_RS05150
972570	973139	+	YhcN/YlaJ family sporulation lipoprotein	yhcN	BSUA_RS05155
973260	974228	+	hypothetical protein		BSUA_RS05160
974160	974813	-	spore coat protein	yhcQ	BSUA_RS05165
974896	978549	+	endonuclease YhcR	yhcR	BSUA_RS05170
978546	979142	+	class D sortase	srtA	BSUA_RS05175
979172	980080	-	RluA family pseudouridine synthase	yhcT	BSUA_RS05180
980191	980586	+	YhcU family protein	yhcU	BSUA_RS05185
980723	981145	+	CBS domain-containing protein	yhcV	BSUA_RS05190
981272	981934	+	HAD family hydrolase	glpW	BSUA_RS05195
981950	983491	+	bifunctional GNAT family N-acetyltransferase/carbon-nitrogen hydrolase family protein	yhcX	BSUA_RS05200
983912	985264	+	aspartate aminotransferase family protein	yhxA	BSUA_RS05205
985292	985870	+	glycerol uptake operon antiterminator GlpP	glpP	BSUA_RS05210
986049	986873	+	glycerol uptake facilitator protein GlpF	glpF	BSUA_RS05215
986892	988382	+	glycerol kinase GlpK	glpK	BSUA_RS05220
988523	990190	+	glycerol-3-phosphate dehydrogenase	glpD	BSUA_RS05225
990322	992067	+	phosphoglucomutase	pgcA	BSUA_RS05230
992216	993355	+	two-component system sensor histidine kinase YhcY	yhcY	BSUA_RS05235
993352	993996	+	two-component system response regulator YhcZ	yhcZ	BSUA_RS05240
993993	994517	+	FMN-dependent NADPH-azoreductase	yhdA	BSUA_RS05245
994532	994774	-	YhdB family protein	yhdB	BSUA_RS05250
994975	995298	+	YqzG/YhdC family protein	yhdC	BSUA_RS05255
995340	996806	-	peptidoglycan endopeptidase LytF	lytF	BSUA_RS05260
996959	997399	-	nitric oxide-sensing transcriptional repressor NsrR	nsrR	BSUA_RS05265
997506	999164	-	mechanosensitive ion channel	ygxB	BSUA_RS05270
999195	1000601	+	stage V sporulation protein SpoVR	spoVR	BSUA_RS05275
1000631	1002016	-	alkaline phosphatase PhoA	phoA	BSUA_RS05280
1002546	1003550	+	peptidoglycan endopeptidase LytE	lytE	BSUA_RS05285
1003621	1004496	-	transcriptional regulator CitR	citR	BSUA_RS05290
1004605	1005705	+	citrate synthase CitA	citA	BSUA_RS05295
1005779	1006648	+	glucose 1-dehydrogenase	yhdF	BSUA_RS05300
1006898	1008295	+	branched-chain amino acid transporter BcaP	bcaP	BSUA_RS05305
1008413	1009768	+	sodium-dependent transporter	yhdH	BSUA_RS05310
1009803	1011212	-	PLP-dependent aminotransferase family protein	yhdI	BSUA_RS05315
1011322	1011750	+	GNAT family N-acetyltransferase	yhdJ	BSUA_RS05320
1011781	1012071	-	anti-sigma-M factor	asiMB	BSUA_RS05325
1012059	1013135	-	anti-sigma-M factor	asiMA	BSUA_RS05330
1013125	1013616	-	RNA polymerase sigma factor SigM	sigM	BSUA_RS05335
1013813	1014808	+	aldo/keto reductase AkrN	akrN	BSUA_RS05340
1014943	1015542	+	1-acylglycerol-3-phosphate O-acyltransferase	plsC	BSUA_RS05345
1015611	1016945	-	hemolysin family protein	yhdP	BSUA_RS05350
1017006	1017437	-	Cu(I)-responsive transcriptional regulator	cueR	BSUA_RS05355
1017594	1018775	+	pyridoxal phosphate-dependent aminotransferase	yhdR	BSUA_RS05360
1019102	1020487	+	hemolysin family protein	yhdT	BSUA_RS05365
1020501	1020857	-	fluoride efflux transporter CrcB	crcB	BSUA_RS05370
1020854	1021249	-	CrcB family protein	crcBB	BSUA_RS05375
1021236	1021967	-	glycerophosphoryl diester phosphodiesterase	yhdW	BSUA_RS05380
1022201	1022308	+	YhdX family protein	yhdX	BSUA_RS05385
1022457	1023572	+	small-conductance mechanosensitive channel protein MscY	mscY	BSUA_RS05390
1023642	1024385	+	sirtuin NAD-dependent deacetylase	srtN	BSUA_RS05395
1024409	1025257	-	polysaccharide deacetylase	yheN	BSUA_RS05400
1025542	1026390	+	D-amino-acid transaminase	dat	BSUA_RS05405
1026433	1027794	-	Na+/H+ antiporter NhaC	nhaC	BSUA_RS05410
1027921	1028421	-	universal stress protein	nhaX	BSUA_RS05415
1028585	1028746	+	hypothetical protein		BSUA_RS05420
1028866	1030623	+	multidrug ABC transporter ATP-binding protein BmrC	bmrC	BSUA_RS05425
1030620	1032641	+	multidrug resistance ABC transporter ATP-binding protein/permease BmrD	bmrD	BSUA_RS05430
1032690	1033310	-	SDR family oxidoreductase	yheG	BSUA_RS05435
1033349	1033474	-	hypothetical protein		BSUA_RS22275
1033579	1033782	-	beta type acid-soluble spore protein SspB	sspB	BSUA_RS05440
1033991	1034209	-	YheE family protein	yheE	BSUA_RS05445
1034359	1035720	-	spore coat associated protein YheD	yheD	BSUA_RS05450
1035710	1036801	-	spore coat associated protein SpaC	spaC	BSUA_RS05455
1037068	1038201	+	DUF445 domain-containing protein	yheB	BSUA_RS05460
1038294	1038647	+	YlbF family regulator	yheA	BSUA_RS05465
1038691	1039764	-	DNA alkylation repair protein	yhaZ	BSUA_RS05470
1040250	1041116	+	Cof-type HAD-IIB family hydrolase	yhaX	BSUA_RS05475
1041228	1042733	+	coproporphyrinogen III oxidase	hemZ	BSUA_RS05480
1042751	1043968	-	K(+)/H(+) antiporter subunit KhtU	khtU	BSUA_RS05485
1043975	1044472	-	K(+)/H(+) antiporter subunit KhtT	khtT	BSUA_RS05490
1044536	1044874	-	K(+)/H(+) antiporter modulator KhtS	khtS	BSUA_RS05495
1045039	1045806	+	enoyl-CoA hydratase	yhaR	BSUA_RS05500
1045827	1046012	-	hypothetical protein		BSUA_RS05505
1046139	1047035	+	ABC transporter ATP-binding protein	yhaQ	BSUA_RS05510
1047028	1048287	+	ABC transporter permease	yhaP	BSUA_RS05515
1048394	1049620	+	exonuclease SbcCD subunit D	yhaO	BSUA_RS05520
1049625	1052516	+	DNA repair/recombination ATPase SbcE	sbcE	BSUA_RS05525
1052590	1053534	+	3'-5' exoribonuclease YhaM	yhaM	BSUA_RS05530
1053659	1053871	+	sporulation protein YhaL	yhaL	BSUA_RS05535
1053912	1054790	-	peptidylprolyl isomerase PrsA	prsA	BSUA_RS05540
1054950	1055036	+	sporulation protein YhzE1	yhzE1	BSUA_RS22280
1055161	1055247	+		yhzE2	BSUA_RS05550
1055300	1055482	-			BSUA_RS22285
1055590	1056108	-	DUF3267 domain-containing protein	yhaJ	BSUA_RS05555
1056316	1056657	+	YhaI family protein	yhaI	BSUA_RS05560
1056654	1057265	-	HTH-type transcriptional regulator Hpr	scoC	BSUA_RS05565
1057443	1057799	-	YtxH domain-containing protein	yhaH	BSUA_RS05570
1057929	1058120	+	hypothetical protein		BSUA_RS05575
1058194	1058712	-	tryptophan transporter TrpP	trpP	BSUA_RS05580
1058837	1059916	-	3-phosphoserine/phosphohydroxythreonine transaminase	serC	BSUA_RS05585
1060063	1060500	-	HIT family protein	hinT	BSUA_RS05590
1060988	1061731	+	ABC transporter ATP-binding protein EcsA	ecsA	BSUA_RS05595
1061724	1062950	+	ABC transporter permease EcsB	ecsB	BSUA_RS05600
1062970	1063680	+	EcsC family protein	ecsC	BSUA_RS05605
1063698	1064888	-	N-acetyl amino acid acetylase SndC	sndC	BSUA_RS05610
1064961	1066352	-	hypothetical protein		BSUA_RS05615
1066418	1066732	-	hypothetical protein		BSUA_RS05620
1066777	1067277	-	heme-degrading oxygenase HmoB	hmoB	BSUA_RS05625
1067399	1069543	+	penicillin-binding protein	pbpF	BSUA_RS05630
1069665	1070726	+	uroporphyrinogen decarboxylase	hemE	BSUA_RS05635
1070798	1071730	+	ferrochelatase	hemH	BSUA_RS05640
1071745	1073157	+	protoporphyrinogen oxidase	hemY	BSUA_RS05645
1073303	1073878	+	TetR/AcrR family transcriptional regulator	yhgD	BSUA_RS05650
1073949	1076276	+	YhgE/Pip domain-containing protein	yhgE	BSUA_RS05655
1076318	1077295	-	beta-ketoacyl-ACP synthase III FabHB	fabHB	BSUA_RS05660
1077422	1078198	+	YhfC family intramembrane metalloprotease	yhfC	BSUA_RS05665
1078282	1078473	-	hypothetical protein		BSUA_RS05670
1078611	1079651	+	M42 family metallopeptidase	yhfE	BSUA_RS05675
1079664	1080071	+	ASCH domain-containing protein	yhfF	BSUA_RS05680
1080108	1081397	-	glutamate/proton symporter GltT	gltT	BSUA_RS05685
1081668	1081808	-	YhfH family protein	yhfH	BSUA_RS05690
1081960	1082694	+	MBL fold metallo-hydrolase	yhfI	BSUA_RS05695
1082707	1083702	+	lipoate--protein ligase LplJ	lplJ	BSUA_RS05700
1083767	1084411	+	SDR family oxidoreductase	yhfK	BSUA_RS05705
1084528	1086069	+	long-chain-fatty-acid--CoA ligase LcfB	lcfB	BSUA_RS05710
1086108	1086503	-	hypothetical protein		BSUA_RS05715
1086652	1087932	+	M48 family metallopeptidase	yhfN	BSUA_RS05720
1087971	1089116	-	subtilisin AprE	aprE	BSUA_RS05725
1089551	1090000	+	GNAT family N-acetyltransferase	yhfO	BSUA_RS05730
1090072	1091064	+	acryloyl-CoA reductase	yhfP	BSUA_RS05735
1091281	1092252	+	ABC transporter substrate-binding protein	yhfQ	BSUA_RS05740
1092284	1092865	-	phosphatase PhoE	phoE	BSUA_RS05745
1092936	1094030	-	acetyl-CoA C-acyltransferase	yhfS	BSUA_RS05750
1094027	1095466	-	acyl-CoA synthetase	yhfT	BSUA_RS05755
1095473	1096033	-	biotin transporter BioY	bioY	BSUA_RS05760
1096168	1097466	-	heme-based aerotactic transducer HemAT	hemAT	BSUA_RS05765
1097605	1099134	-	FAD-dependent oxidoreductase	yhfW	BSUA_RS05770
1099246	1100103	+	SDR family oxidoreductase	yhxC	BSUA_RS05775
1100131	1100364	-	IDEAL domain-containing protein	yhzC	BSUA_RS05780
1100657	1101235	+	competence transcription factor ComK	comK	BSUA_RS05785
1101282	1102181	-	SDR family oxidoreductase	yhxD	BSUA_RS05790
1102398	1102667	+	excalibur calcium-binding domain-containing protein	yhjA	BSUA_RS05795
1102710	1104179	-	sodium:solute symporter	yhjB	BSUA_RS05800
1104176	1104376	-	DUF3311 domain-containing protein	yhjC	BSUA_RS05805
1104584	1104946	-	hypothetical protein		BSUA_RS05810
1105098	1105721	+	TVP38/TMEM64 family protein	yhjE	BSUA_RS05815
1105723	1106229	+	signal peptidase I	lepB	BSUA_RS05820
1106410	1107909	+	monooxygenase	yhjG	BSUA_RS05825
1107986	1108513	+	MarR family transcriptional regulator	yhjH	BSUA_RS05830
1108671	1109876	-	glucose/mannose transporter GlcP	glcP	BSUA_RS05835
1109948	1111000	-	glucose-6-phosphate 3-dehydrogenase NdtC	ntdC	BSUA_RS05840
1111014	1111862	-	kanosamine-6-phosphate phosphatase	ntdB	BSUA_RS05845
1111834	1113159	-	3-dehydro-glucose-6-phosphate--glutamate transaminase	ntdA	BSUA_RS05850
1113263	1114252	+	NTD biosynthesis operon transcriptional regulator NtdR	ntdR	BSUA_RS05855
1114466	1115620	-	AbrB family transcriptional regulator	yhjN	BSUA_RS05860
1115727	1116932	-	MFS transporter	yhjO	BSUA_RS05865
1117046	1118773	+	SgrR family transcriptional regulator	yhjP	BSUA_RS05870
1118803	1119129	-	four-helix bundle copper-binding protein	yhjQ	BSUA_RS05875
1119247	1119684	-	hypothetical protein	yhjR	BSUA_RS05880
1119868	1123368	+	helicase-exonuclease AddAB subunit AddB	addB	BSUA_RS05885
1123355	1127053	+	helicase-exonuclease AddAB subunit AddA	addA	BSUA_RS05890
1127125	1128300	+	exonuclease SbcCD subunit D	sbcD	BSUA_RS05895
1128297	1131689	+	exonuclease subunit SbcC	sbcC	BSUA_RS05900
1131703	1132005	+	HNH nuclease-like protein HlpB	hlpB	BSUA_RS05905
1132042	1132260	-	spore germination protein	gerPF	BSUA_RS05910
1132292	1132693	-	spore germination protein GerPE	gerPE	BSUA_RS05915
1132693	1132869	-	spore germination protein GerPD	gerPD	BSUA_RS05920
1132866	1133483	-	germination protein GerPC	gerPC	BSUA_RS05925
1133506	1133739	-	spore germination protein GerPB	gerPB	BSUA_RS05930
1133754	1133975	-	spore germination protein	gerPA	BSUA_RS05935
1134398	1134568	-	aspartyl-phosphate phosphatase YisI	yisI	BSUA_RS05945
1134714	1135637	-	CotH kinase family protein	yisJ	BSUA_RS05950
1135792	1136697	+	fumarylacetoacetate hydrolase family protein	mblK	BSUA_RS05955
1136813	1137169	+	YisL family protein	yisL	BSUA_RS05960
1137337	1140021	+	cell wall-associated protease WprA	wprA	BSUA_RS05965
1140052	1140639	-	DUF2777 domain-containing protein	yisN	BSUA_RS05970
1140785	1142629	+	asparagine synthase (glutamine-hydrolyzing)	asnB	BSUA_RS05975
1142759	1143238	-	DinB family protein	yizA	BSUA_RS05980
1143470	1144294	+	farnesyl diphosphate phosphatase	farP	BSUA_RS05985
1144324	1145691	-	MATE family efflux transporter	yisQ	BSUA_RS05990
1145815	1146678	+	AraC family transcriptional regulator	yisR	BSUA_RS05995
1146696	1147709	+	transcriptional regulator DegA	degA	BSUA_RS06000
1147918	1148946	+	scyllo-inositol 2-dehydrogenase	iolX	BSUA_RS06005
1148997	1149506	-	DinB family protein	yisT	BSUA_RS06010
1149556	1150218	-	LysE/ArgO family amino acid transporter	yisU	BSUA_RS06015
1150285	1151739	+	PLP-dependent aminotransferase family protein	yisV	BSUA_RS06020
1151747	1152385	-	pentapeptide repeat-containing protein	yisX	BSUA_RS06025
1152591	1153397	+	alpha/beta hydrolase	yisY	BSUA_RS06030
1153425	1154024	-	adenylyl-sulfate kinase	cysC	BSUA_RS06035
1154021	1155190	-	sulfate adenylyltransferase	sat	BSUA_RS06040
1155303	1156013	-	phosphoadenylyl-sulfate reductase	yitB	BSUA_RS06045
1156198	1156884	+	2-phosphosulfolactate phosphatase	slpH	BSUA_RS06050
1156881	1157639	+	phosphosulfolactate synthase	slpS	BSUA_RS06055
1157684	1158313	-	YitT family protein	yitE	BSUA_RS06060
1158409	1159524	-	mandelate racemase/muconate lactonizing enzyme family protein	yitF	BSUA_RS06065
1159533	1160801	-	MFS transporter	yitG	BSUA_RS06070
1160913	1161761	-	GNAT family N-acetyltransferase	yitH	BSUA_RS06075
1161766	1162215	-	GNAT family N-acetyltransferase	yitI	BSUA_RS06080
1162305	1164143	-	bifunctional homocysteine S-methyltransferase/methylenetetrahydrofolate reductase	samT	BSUA_RS06085
1164457	1164948	-	YajQ family cyclic di-GMP-binding protein	yitK	BSUA_RS06090
1165047	1165943	+	S1 RNA-binding domain-containing protein	yitL	BSUA_RS06095
1165996	1166580	-	sporulation delaying protein family toxin	yitM	BSUA_RS06100
1166577	1167506	-	membrane protein		BSUA_RS06105
1167491	1168027	-	SdpA family antimicrobial peptide system protein	yitP	BSUA_RS06110
1168205	1168552	+	PadR family transcriptional regulator	yizB	BSUA_RS06115
1168549	1169136	+	hypothetical protein		BSUA_RS06120
1169156	1169449	+	DUF3784 domain-containing protein	yitR	BSUA_RS06125
1169585	1171201	+	neutral protease NprB	nprB	BSUA_RS06130
1171248	1172099	-	DegV family protein	fakBB	BSUA_RS06135
1172237	1173079	+	YitT family protein	yitT	BSUA_RS06140
1173194	1173553	+	intracellular proteinase inhibitor	ipi	BSUA_RS06145
1173584	1173781	-	DUF3813 domain-containing protein	yizC	BSUA_RS06150
1173782	1173934	-			BSUA_RS23045
1174038	1174850	-	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU	yitU	BSUA_RS06160
1174971	1175738	+	prolyl oligopeptidase family serine peptidase	yitV	BSUA_RS06165
1175802	1176110	+	metal-sulfur cluster assembly factor	yitW	BSUA_RS06170
1176175	1176345	+	YqaE/Pmp3 family membrane protein		BSUA_RS06175
1176406	1177836	+	FAD-binding oxidoreductase	yitY	BSUA_RS06180
1177881	1178375	+	MFS transporter	yitZ	BSUA_RS06185
1178582	1179619	+	N-acetyl-gamma-glutamyl-phosphate reductase	argC	BSUA_RS06190
1179639	1180859	+	bifunctional ornithine acetyltransferase/N-acetylglutamate synthase	argJ	BSUA_RS06195
1180874	1181650	+	acetylglutamate kinase	argB	BSUA_RS06200
1181647	1182804	+	acetylornithine transaminase	argD	BSUA_RS06205
1182875	1183936	+	carbamoyl phosphate synthase small subunit	carA	BSUA_RS06210
1183929	1187021	+	carbamoyl phosphate synthase large subunit	carB	BSUA_RS06215
1187009	1187968	+	ornithine carbamoyltransferase	argF	BSUA_RS06220
1188054	1188233	+	YjzC family protein	yjzC	BSUA_RS06225
1188279	1188464	-	DUF2929 domain-containing protein	yjzD	BSUA_RS06230
1188713	1189447	+	hypothetical protein		BSUA_RS06235
1189529	1190086	+	hypothetical protein		BSUA_RS06240
1190177	1191130	+	transcriptional regulator Med	med	BSUA_RS06245
1191145	1191336	+	ComG operon transcriptional repressor ComZ	comZ	BSUA_RS06250
1191366	1191605	-	spore coat protein YjzB	yjzB	BSUA_RS06255
1191770	1192708	+	beta-ketoacyl-ACP synthase III	fabH	BSUA_RS06260
1192731	1193972	+	beta-ketoacyl-ACP synthase II	fabF	BSUA_RS06265
1194048	1194833	+	DUF2268 domain-containing protein	yjaZ	BSUA_RS06270
1195025	1196011	+	oligopeptide ABC transporter ATP-binding protein AppD	appD	BSUA_RS06275
1196008	1196997	+	oligopeptide ABC transporter ATP-binding protein AppF	appF	BSUA_RS06280
1197085	1198715	+	peptide-binding protein		BSUA_RS06285
1198791	1199741	+	oligopeptide ABC transporter permease AppB	appB	BSUA_RS06290
1199758	1200669	+	oligopeptide ABC transporter permease AppC	appC	BSUA_RS06295
1200874	1201626	+	YjbA family protein	yjbA	BSUA_RS06300
1201661	1202653	-	tryptophan--tRNA ligase	trpS	BSUA_RS06305
1203397	1205034	+	oligopeptide ABC transporter substrate-binding protein OppA	oppA	BSUA_RS06310
1205142	1206077	+	oligopeptide ABC transporter permease OppB	oppB	BSUA_RS06315
1206081	1206998	+	oligopeptide ABC transporter permease OppC	oppC	BSUA_RS06320
1207003	1208079	+	oligopeptide ABC transporter ATP-binding protein OppD	oppD	BSUA_RS06325
1208081	1208998	+	oligopeptide ABC transporter ATP-binding protein OppF	oppF	BSUA_RS06330
1209105	1210322	+	MFS transporter	yjbB	BSUA_RS06335
1210486	1211064	+	GNAT family N-acetyltransferase	yjbC	BSUA_RS06340
1211245	1211640	+	transcriptional regulator Spx	spx	BSUA_RS06345
1211683	1212339	-	TerC family protein	yjbE	BSUA_RS06350
1212509	1212649	+			BSUA_RS22715
1212616	1213272	+	adaptor protein MecA	mecA	BSUA_RS06355
1213267	1213389	-			BSUA_RS22720
1213433	1214584	+	competence protein CoiA	coiA	BSUA_RS06360
1214814	1216643	+	oligoendopeptidase F	pepF	BSUA_RS06365
1216681	1216848	-	hypothetical protein		BSUA_RS06370
1217162	1218061	-	protease adaptor protein SpxH	spxH	BSUA_RS06380
1218058	1218456	-	group 2 truncated hemoglobin YjbI	yjbI	BSUA_RS06385
1218711	1219256	-	bifunctional muramidase/murein lytic transglycosylase	cwlQ	BSUA_RS06390
1219460	1220032	-	CYTH domain-containing protein	yjbK	BSUA_RS06395
1220157	1220525	+	hypothetical protein		BSUA_RS06400
1220554	1221189	+	GTP diphosphokinase	yjbM	BSUA_RS06405
1221208	1222008	+	NAD kinase	ppnKA	BSUA_RS06410
1222023	1222922	+	RluA family pseudouridine synthase	yjbO	BSUA_RS06415
1222935	1223669	-	bis(5'-nucleosyl)-tetraphosphatase PrpE	prpE	BSUA_RS06420
1223904	1225748	+	monovalent cation:proton antiporter family protein	kefQ	BSUA_RS06425
1225997	1226707	+	thiaminase II	tenA	BSUA_RS06430
1226682	1227299	+	thiazole tautomerase TenI	tenI	BSUA_RS06435
1227283	1228392	+	glycine oxidase ThiO	thiO	BSUA_RS06440
1228392	1228592	+	sulfur carrier protein ThiS	thiS	BSUA_RS06445
1228589	1229359	+	thiazole synthase	thiG	BSUA_RS06450
1229356	1230366	+	thiazole biosynthesis adenylyltransferase ThiF	thiF	BSUA_RS06455
1230385	1231200	+	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	thiD	BSUA_RS06460
1231336	1232112	+	enoyl-ACP reductase FabI	fabI	BSUA_RS06465
1232213	1232896	+	spore coat protein CotO	cotO	BSUA_RS06470
1232990	1233436	-	spore coat protein CotZ	cotZ	BSUA_RS06475
1233564	1234052	-	spore coat protein CotY	cotY	BSUA_RS06480
1234204	1234722	-	spore coat protein CotX	cotX	BSUA_RS06485
1234821	1235138	-	spore coat protein CotW	cotW	BSUA_RS06490
1235179	1235565	-	spore coat protein CotV	cotV	BSUA_RS06495
